Show,EpId,ClipId,Start,Stop,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech
HeStutters,0,13,46154240,46202240,True,Pamela Mertz,0.4609233736991882,,train,test,test,0,0,0,0,0,1,0,1,2,0,0,0
HeStutters,0,14,49133440,49181440,True,Pamela Mertz,0.5687756538391113,,train,test,test,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,0,15,49411840,49459840,True,Pamela Mertz,0.4432256519794464,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,16,51492320,51540320,True,Pamela Mertz,0.5327112078666687,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,17,6970880,7018880,True,Pamela Mertz,0.5791712403297424,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,0,18,8215200,8263200,True,Pamela Mertz,0.4415773451328277,,train,test,test,0,0,0,1,0,0,0,0,2,1,0,0
HeStutters,0,19,9985280,10033280,True,Pamela Mertz,0.6078404188156128,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,20,11197600,11245600,True,Pamela Mertz,0.500583827495575,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,21,12275840,12323840,True,Pamela Mertz,0.5151429176330566,,train,test,test,0,0,0,0,0,0,1,0,3,0,0,0
HeStutters,0,22,12315840,12363840,True,Pamela Mertz,0.5969139337539673,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,23,12567200,12615200,True,Pamela Mertz,0.584084689617157,,train,test,test,0,0,0,0,0,0,1,0,3,0,0,0
HeStutters,0,24,15001760,15049760,True,Pamela Mertz,0.437989205121994,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,25,16317280,16365280,True,Pamela Mertz,0.5959277153015137,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,26,3562240,3610240,False,HeStutters_0_1,0.6165656447410583,train,test,train,dev,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,27,18732320,18780320,False,HeStutters_0_1,0.5806368589401245,train,test,train,dev,0,0,0,1,3,1,0,1,0,0,0,0
HeStutters,0,28,18902240,18950240,True,Pamela Mertz,0.3546248972415924,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,29,19004000,19052000,False,HeStutters_0_1,0.1481858044862747,train,test,train,dev,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,30,19927520,19975520,False,HeStutters_0_1,0.2468860149383545,train,test,train,dev,0,1,0,0,0,0,2,0,3,0,0,0
HeStutters,0,31,21092480,21140480,True,Pamela Mertz,0.485493928194046,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,32,21147520,21195520,True,Pamela Mertz,0.5565785765647888,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,33,25293440,25341440,True,Pamela Mertz,0.4763345718383789,,train,test,test,0,0,2,1,0,0,0,0,1,0,0,0
HeStutters,0,34,25822720,25870720,True,Pamela Mertz,0.3888625502586365,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,35,26746400,26794400,True,Pamela Mertz,0.4207869470119476,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,36,27774880,27822880,True,Pamela Mertz,0.5859019160270691,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,37,27813440,27861440,True,Pamela Mertz,0.574636697769165,,train,test,test,0,0,1,0,0,0,0,1,2,0,0,0
HeStutters,0,38,29565600,29613600,True,Pamela Mertz,0.5432774424552917,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,39,30011200,30059200,False,HeStutters_0_1,0.5494836568832397,train,test,train,dev,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,0,2152480,2200480,True,Pamela Mertz,0.5568298697471619,,train,test,test,0,0,0,1,2,0,1,0,0,0,0,0
HeStutters,1,1,27906400,27954400,True,Pamela Mertz,0.5999943614006042,,train,test,test,0,0,0,0,0,1,0,1,2,0,0,0
HeStutters,1,2,28160960,28208960,True,Pamela Mertz,0.6195129156112671,,train,test,test,0,0,1,0,0,0,0,0,2,1,0,0
HeStutters,1,3,28193760,28241760,False,HeStutters_1_1,0.3859234452247619,train,dev,dev,train,0,0,0,1,0,0,0,3,2,1,0,0
HeStutters,1,4,28351360,28399360,True,Pamela Mertz,0.3147591650485992,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,1,5,28390400,28438400,True,Pamela Mertz,0.5555472373962402,,train,test,test,0,0,0,0,0,3,0,1,0,0,0,0
HeStutters,1,6,28443200,28491200,True,Pamela Mertz,0.3804687261581421,,train,test,test,0,0,0,0,0,1,0,0,2,1,0,0
HeStutters,1,7,28506080,28554080,True,Pamela Mertz,0.4428032636642456,,train,test,test,0,0,0,0,0,3,1,0,0,1,0,0
HeStutters,1,8,28539840,28587840,True,Pamela Mertz,0.2785152792930603,,train,test,test,0,0,0,0,0,2,0,0,1,0,0,0
HeStutters,1,9,29043360,29091360,True,Pamela Mertz,0.4807916283607483,,train,test,test,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,10,29077440,29125440,True,Pamela Mertz,0.3935577273368835,,train,test,test,0,0,0,2,0,1,1,0,0,0,0,0
HeStutters,1,11,29396960,29444960,True,Pamela Mertz,0.4808138906955719,,train,test,test,0,1,2,0,1,0,1,0,0,0,0,0
HeStutters,1,12,29445280,29493280,True,Pamela Mertz,0.4799919724464416,,train,test,test,0,0,0,0,2,0,1,0,1,0,0,0
HeStutters,1,13,29497920,29545920,True,Pamela Mertz,0.4929830431938171,,train,test,test,0,0,0,1,0,1,0,0,1,1,0,0
HeStutters,1,14,29571040,29619040,True,Pamela Mertz,0.5251225829124451,,train,test,test,0,0,3,0,0,0,0,3,0,0,0,0
HeStutters,1,15,30017440,30065440,True,Pamela Mertz,0.5067000389099121,,train,test,test,0,0,3,0,1,0,0,1,0,0,0,0
HeStutters,1,16,30052800,30100800,True,Pamela Mertz,0.4815251231193542,,train,test,test,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,17,5026880,5074880,True,Pamela Mertz,0.6198275685310364,,train,test,test,0,0,0,2,1,0,1,0,0,1,0,0
HeStutters,1,18,5063040,5111040,True,Pamela Mertz,0.3744684159755707,,train,test,test,0,1,1,1,1,0,3,0,1,0,0,0
HeStutters,1,19,30230560,30278560,True,Pamela Mertz,0.5498700737953186,,train,test,test,0,1,0,0,0,0,0,0,3,0,0,0
HeStutters,1,20,30284320,30332320,True,Pamela Mertz,0.5928367972373962,,train,test,test,0,0,0,0,1,3,0,1,0,0,0,0
HeStutters,1,21,30707360,30755360,False,HeStutters_1_1,0.1425594687461853,train,dev,dev,train,1,0,0,0,1,0,2,0,1,0,0,1
HeStutters,1,22,30745440,30793440,False,HeStutters_1_1,0.2542596459388733,train,dev,dev,train,0,0,1,1,0,0,0,0,2,1,0,0
HeStutters,1,23,30771360,30819360,True,Pamela Mertz,0.4956032335758209,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,1,24,30819840,30867840,True,Pamela Mertz,0.2312233746051788,,train,test,test,0,0,0,1,0,1,0,3,1,1,0,0
HeStutters,1,25,30925120,30973120,True,Pamela Mertz,0.4923746883869171,,train,test,test,0,0,1,0,0,0,0,0,1,0,0,0
HeStutters,1,26,30961440,31009440,True,Pamela Mertz,0.6367003321647644,,train,test,test,0,0,0,1,0,0,0,2,2,0,0,0
HeStutters,1,27,31099040,31147040,True,Pamela Mertz,0.4969601333141327,,train,test,test,0,0,3,1,0,0,1,0,0,1,0,0
HeStutters,1,28,31132480,31180480,True,Pamela Mertz,0.352639228105545,,train,test,test,0,1,1,0,0,1,1,2,2,0,0,0
HeStutters,1,29,31224160,31272160,True,Pamela Mertz,0.6004981994628906,,train,test,test,0,0,2,0,0,0,1,0,1,0,0,0
HeStutters,1,30,31286560,31334560,True,Pamela Mertz,0.4482068419456482,,train,test,test,0,0,0,1,0,0,1,0,2,0,0,0
HeStutters,1,31,31628960,31676960,True,Pamela Mertz,0.2357072979211807,,train,test,test,0,0,1,1,0,0,1,0,1,0,0,0
HeStutters,1,32,31661920,31709920,False,HeStutters_1_1,0.345853179693222,train,dev,dev,train,0,0,3,0,0,0,0,3,0,0,0,0
HeStutters,1,33,31802080,31850080,False,HeStutters_1_1,0.1640883833169937,train,dev,dev,train,0,0,0,1,3,0,0,0,0,0,0,0
HeStutters,1,34,31838240,31886240,True,Pamela Mertz,0.4724841713905334,,train,test,test,0,0,0,0,1,1,1,1,1,0,0,0
HeStutters,1,35,31881600,31929600,True,Pamela Mertz,0.5229651927947998,,train,test,test,0,0,1,1,2,0,1,0,0,0,0,0
HeStutters,1,36,31917440,31965440,True,Pamela Mertz,0.6170733571052551,,train,test,test,0,0,0,1,0,0,0,3,2,0,0,0
HeStutters,1,37,5095680,5143680,True,Pamela Mertz,0.5566307902336121,,train,test,test,0,0,0,2,3,0,1,1,0,0,0,0
HeStutters,1,38,31963680,32011680,True,Pamela Mertz,0.3873849511146545,,train,test,test,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,39,32034720,32082720,True,Pamela Mertz,0.5606082677841187,,train,test,test,0,0,0,1,1,0,0,2,1,1,0,0
HeStutters,1,40,32086560,32134560,True,Pamela Mertz,0.4520306587219238,,train,test,test,0,0,2,1,0,0,2,0,0,0,0,0
HeStutters,1,41,32346240,32394240,False,HeStutters_1_1,0.0758062079548835,train,dev,dev,train,0,1,2,1,0,0,0,1,1,0,0,0
HeStutters,1,42,32392000,32440000,False,HeStutters_1_1,0.0539090745151042,train,dev,dev,train,0,0,1,1,3,1,1,0,0,0,0,0
HeStutters,1,43,32695840,32743840,True,Pamela Mertz,0.6102806925773621,,train,test,test,0,0,0,1,0,0,0,3,2,2,0,0
HeStutters,1,44,32728480,32776480,True,Pamela Mertz,0.5725889801979065,,train,test,test,0,0,0,1,0,0,1,0,2,1,0,0
HeStutters,1,45,32800640,32848640,True,Pamela Mertz,0.4556610584259033,,train,test,test,0,0,1,0,2,0,1,0,0,0,0,0
HeStutters,1,46,32841920,32889920,False,HeStutters_1_1,0.3124547600746155,train,dev,dev,train,0,0,0,2,2,0,1,0,1,0,0,1
HeStutters,1,47,33042240,33090240,True,Pamela Mertz,0.5454192161560059,,train,test,test,0,1,0,1,0,0,2,1,2,0,0,0
HeStutters,1,48,33092160,33140160,True,Pamela Mertz,0.6229572892189026,,train,test,test,0,0,1,0,1,1,1,1,0,0,0,0
HeStutters,1,49,33136160,33184160,True,Pamela Mertz,0.5265995264053345,,train,test,test,0,0,0,2,2,0,0,0,0,0,0,0
HeStutters,1,50,33175200,33223200,True,Pamela Mertz,0.5499697327613831,,train,test,test,0,0,0,1,2,0,0,1,1,2,0,0
HeStutters,1,51,33325280,33373280,False,HeStutters_1_1,0.3587537109851837,train,dev,dev,train,0,0,0,1,0,3,0,0,0,0,0,0
HeStutters,1,52,33372160,33420160,False,HeStutters_1_1,0.2925048768520355,train,dev,dev,train,0,0,0,0,0,0,0,0,3,2,0,0
HeStutters,1,53,34068000,34116000,False,HeStutters_1_1,0.1658701300621032,train,dev,dev,train,0,0,2,2,0,0,1,0,0,0,0,0
HeStutters,1,54,34100800,34148800,False,HeStutters_1_1,0.1309902817010879,train,dev,dev,train,0,0,3,0,1,0,1,0,0,0,0,0
HeStutters,1,55,34145280,34193280,True,Pamela Mertz,0.4931984841823578,,train,test,test,0,0,0,1,0,0,2,0,2,0,0,0
HeStutters,1,56,34184480,34232480,False,HeStutters_1_1,-0.0901668667793273,train,dev,dev,train,0,1,0,0,2,0,1,0,1,0,0,0
HeStutters,1,57,5247680,5295680,True,Pamela Mertz,0.1211815699934959,,train,test,test,0,0,1,0,2,0,0,0,1,1,0,0
HeStutters,1,58,5284000,5332000,True,Pamela Mertz,0.6219460964202881,,train,test,test,0,0,0,0,0,1,1,0,2,1,0,0
HeStutters,1,59,34259040,34307040,True,Pamela Mertz,0.5945858359336853,,train,test,test,0,0,1,0,0,0,0,2,2,0,0,0
HeStutters,1,60,34295840,34343840,True,Pamela Mertz,0.1370674222707748,,train,test,test,0,0,1,1,2,0,1,0,0,0,0,0
HeStutters,1,61,34837280,34885280,True,Pamela Mertz,0.6129013895988464,,train,test,test,0,0,0,1,3,0,1,2,0,0,0,0
HeStutters,1,62,34880640,34928640,False,HeStutters_1_1,0.3024945855140686,train,dev,dev,train,0,1,0,3,1,1,3,0,0,0,0,0
HeStutters,1,63,34995840,35043840,True,Pamela Mertz,0.4601806700229645,,train,test,test,0,0,2,1,0,0,0,0,0,0,0,0
HeStutters,1,64,35047520,35095520,False,HeStutters_1_1,0.3558765947818756,train,dev,dev,train,0,0,0,0,0,0,0,0,3,0,0,1
HeStutters,1,65,35435840,35483840,False,HeStutters_1_1,0.4276331067085266,train,dev,dev,train,0,0,0,2,1,3,0,0,0,0,0,0
HeStutters,1,66,35470560,35518560,False,HeStutters_1_1,0.4031138122081756,train,dev,dev,train,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,1,67,35897120,35945120,True,Pamela Mertz,0.3719892203807831,,train,test,test,0,0,0,1,2,0,0,1,0,0,0,0
HeStutters,1,68,35930720,35978720,True,Pamela Mertz,0.5502745509147644,,train,test,test,0,1,0,1,0,0,1,0,2,0,0,0
HeStutters,1,69,36596000,36644000,True,Pamela Mertz,0.5313407778739929,,train,test,test,0,0,1,1,0,0,1,2,2,1,0,0
HeStutters,1,70,36630240,36678240,True,Pamela Mertz,0.5432164072990417,,train,test,test,0,0,0,2,2,0,0,3,0,0,0,0
HeStutters,1,71,37078240,37126240,True,Pamela Mertz,0.4886821508407593,,train,test,test,0,0,0,0,0,3,1,0,0,0,0,0
HeStutters,1,72,37112320,37160320,False,HeStutters_1_1,-0.0040161651559174,train,dev,dev,train,0,0,3,2,0,0,2,0,0,0,0,0
HeStutters,1,73,37220480,37268480,True,Pamela Mertz,0.6135776042938232,,train,test,test,0,0,0,1,0,1,1,0,1,0,0,0
HeStutters,1,74,37266560,37314560,False,HeStutters_1_1,0.2654589712619781,train,dev,dev,train,0,0,1,2,1,0,3,1,0,0,0,0
HeStutters,1,75,37930720,37978720,True,Pamela Mertz,0.408989280462265,,train,test,test,0,0,0,3,2,0,0,0,0,0,0,0
HeStutters,1,76,37967840,38015840,True,Pamela Mertz,0.5820214152336121,,train,test,test,0,0,0,1,0,0,1,3,2,0,0,0
HeStutters,1,77,38740320,38788320,False,HeStutters_1_1,0.3790421485900879,train,dev,dev,train,0,0,0,2,1,0,0,0,0,0,0,0
HeStutters,1,78,38775520,38823520,False,HeStutters_1_1,0.4044037759304046,train,dev,dev,train,0,0,0,1,0,0,0,0,2,1,0,0
HeStutters,1,79,5950880,5998880,False,HeStutters_1_1,-0.0005960967391729,train,dev,dev,train,0,0,0,1,0,0,1,1,2,2,0,0
HeStutters,1,80,6016640,6064640,False,HeStutters_1_1,0.143155351281166,train,dev,dev,train,0,0,0,1,0,3,0,1,0,0,0,0
HeStutters,1,81,38885920,38933920,False,HeStutters_1_1,0.0884603112936019,train,dev,dev,train,0,0,1,1,1,0,1,1,0,0,0,0
HeStutters,1,82,38922880,38970880,True,Pamela Mertz,0.3428975939750671,,train,test,test,0,0,2,2,2,0,0,0,0,0,0,0
HeStutters,1,83,38993440,39041440,True,Pamela Mertz,0.6057811379432678,,train,test,test,0,2,1,0,0,0,0,0,2,0,0,0
HeStutters,1,84,39042720,39090720,False,HeStutters_1_1,0.3270052671432495,train,dev,dev,train,1,1,0,1,0,0,0,0,1,0,0,2
HeStutters,1,85,39087040,39135040,True,Pamela Mertz,0.5157843828201294,,train,test,test,0,0,0,0,0,3,0,1,0,0,0,0
HeStutters,1,86,39507680,39555680,True,Pamela Mertz,0.3636606931686401,,train,test,test,0,0,2,0,0,0,0,0,1,1,0,0
HeStutters,1,87,39564320,39612320,True,Pamela Mertz,0.5427679419517517,,train,test,test,0,0,0,2,0,0,0,0,1,1,0,0
HeStutters,1,88,39631040,39679040,True,Pamela Mertz,0.5042311549186707,,train,test,test,0,0,0,0,2,0,0,1,1,0,0,0
HeStutters,1,89,39713600,39761600,True,Pamela Mertz,0.116391435265541,,train,test,test,0,0,1,0,0,0,1,0,2,1,0,1
HeStutters,1,90,39763040,39811040,True,Pamela Mertz,0.6176064610481262,,train,test,test,1,1,1,0,0,0,2,1,1,0,0,0
HeStutters,1,91,39817440,39865440,True,Pamela Mertz,0.4909912943840027,,train,test,test,0,0,2,0,1,0,0,0,0,0,0,0
HeStutters,1,92,39910240,39958240,True,Pamela Mertz,0.2763080298900604,,train,test,test,0,0,0,1,1,0,1,0,1,0,0,0
HeStutters,1,93,39942720,39990720,True,Pamela Mertz,0.3256263434886932,,train,test,test,0,0,0,0,0,0,1,1,3,1,0,0
HeStutters,1,94,39987680,40035680,True,Pamela Mertz,0.4378679394721985,,train,test,test,0,0,0,0,0,0,1,0,3,0,0,0
HeStutters,1,95,40041440,40089440,True,Pamela Mertz,0.312228113412857,,train,test,test,0,0,0,0,0,0,1,0,3,0,0,0
HeStutters,1,96,6270720,6318720,True,Pamela Mertz,0.570899486541748,,train,test,test,0,0,0,1,2,0,0,0,0,0,0,0
HeStutters,1,97,6303360,6351360,True,Pamela Mertz,0.5441516041755676,,train,test,test,0,0,1,0,0,0,1,0,2,0,0,0
HeStutters,1,98,40073280,40121280,False,HeStutters_1_1,0.3455063700675964,train,dev,dev,train,0,0,0,0,0,3,0,0,0,0,0,0
HeStutters,1,99,40635200,40683200,False,HeStutters_1_1,0.33475461602211,train,dev,dev,train,0,0,1,0,0,0,0,1,2,1,0,0
HeStutters,1,100,40669920,40717920,False,HeStutters_1_1,0.4292440414428711,train,dev,dev,train,0,0,0,0,2,2,0,0,0,0,0,0
HeStutters,1,101,40904160,40952160,True,Pamela Mertz,0.3633157014846802,,train,test,test,0,0,2,1,0,0,0,1,0,0,0,0
HeStutters,1,102,40941760,40989760,True,Pamela Mertz,0.5941510200500488,,train,test,test,0,0,1,1,0,0,1,0,1,2,0,0
HeStutters,1,103,41236960,41284960,False,HeStutters_1_1,0.354227751493454,train,dev,dev,train,0,0,0,0,0,0,0,2,3,0,0,0
HeStutters,1,104,41306560,41354560,True,Pamela Mertz,0.3265483677387237,,train,test,test,0,0,0,0,0,3,1,1,0,1,0,1
HeStutters,1,105,6492320,6540320,True,Pamela Mertz,0.6277362704277039,,train,test,test,0,0,0,0,2,0,0,0,1,0,0,0
HeStutters,1,106,6530560,6578560,True,Pamela Mertz,0.4566778242588043,,train,test,test,0,0,0,3,0,0,3,0,0,0,0,0
HeStutters,1,107,6638560,6686560,True,Pamela Mertz,0.5061914324760437,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,1,108,6675360,6723360,True,Pamela Mertz,0.5972599983215332,,train,test,test,0,0,1,1,0,0,0,0,1,1,0,0
HeStutters,1,109,6978880,7026880,False,HeStutters_1_1,0.4055805504322052,train,dev,dev,train,0,0,0,2,0,0,0,3,1,2,0,0
HeStutters,1,110,7013120,7061120,True,Pamela Mertz,0.4674853384494781,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,1,111,7108160,7156160,True,Pamela Mertz,0.6112831234931946,,train,test,test,0,0,0,0,0,1,1,2,2,0,0,0
HeStutters,1,112,7141120,7189120,True,Pamela Mertz,0.0644365325570106,,train,test,test,0,1,3,1,0,0,1,0,0,0,0,0
HeStutters,1,113,7456800,7504800,True,Pamela Mertz,0.3805838227272033,,train,test,test,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,114,7494880,7542880,True,Pamela Mertz,0.6303133964538574,,train,test,test,0,0,0,0,1,0,1,0,2,0,0,0
HeStutters,1,115,2648640,2696640,True,Pamela Mertz,0.5241772532463074,,train,test,test,0,0,0,0,1,2,0,0,0,0,0,0
HeStutters,1,116,2704800,2752800,True,Pamela Mertz,0.4444574415683746,,train,test,test,0,0,2,1,2,0,0,0,0,1,0,0
HeStutters,1,117,7921280,7969280,True,Pamela Mertz,0.5370246171951294,,train,test,test,0,0,0,1,0,0,1,0,2,1,0,0
HeStutters,1,118,7956000,8004000,True,Pamela Mertz,0.473568707704544,,train,test,test,0,0,2,0,0,0,0,3,1,1,0,0
HeStutters,1,119,8123040,8171040,True,Pamela Mertz,0.4765310883522033,,train,test,test,0,0,0,1,0,0,2,0,2,0,0,0
HeStutters,1,120,8170240,8218240,True,Pamela Mertz,0.4861749112606048,,train,test,test,0,0,1,0,0,3,0,0,0,0,0,0
HeStutters,1,121,8976480,9024480,False,HeStutters_1_1,0.3072440922260284,train,dev,dev,train,0,0,0,0,0,0,0,3,3,1,0,0
HeStutters,1,122,9014560,9062560,False,HeStutters_1_1,0.1130482852458953,train,dev,dev,train,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,123,9140640,9188640,True,Pamela Mertz,0.3923094868659973,,train,test,test,0,1,1,1,0,0,2,0,2,0,0,0
HeStutters,1,124,9187840,9235840,False,HeStutters_1_1,0.3574265837669372,train,dev,dev,train,0,0,0,0,1,0,0,0,2,0,0,2
HeStutters,1,125,9227520,9275520,True,Pamela Mertz,0.28483447432518,,train,test,test,0,0,0,2,2,0,0,0,0,0,0,0
HeStutters,1,126,9375360,9423360,True,Pamela Mertz,0.505544126033783,,train,test,test,0,1,0,0,0,0,1,1,3,0,0,0
HeStutters,1,127,9410720,9458720,True,Pamela Mertz,0.2867150902748108,,train,test,test,0,0,0,0,3,1,0,0,0,0,0,0
HeStutters,1,128,9708320,9756320,True,Pamela Mertz,0.5597124099731445,,train,test,test,0,0,1,1,0,0,0,0,1,1,0,0
HeStutters,1,129,9746240,9794240,False,HeStutters_1_1,-0.0262993443757295,train,dev,dev,train,0,1,2,2,2,0,2,0,0,0,0,0
HeStutters,1,130,10119040,10167040,True,Pamela Mertz,0.5740145444869995,,train,test,test,0,0,0,1,1,0,1,0,2,0,0,0
HeStutters,1,131,10160800,10208800,True,Pamela Mertz,0.4913711845874786,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,1,132,10280320,10328320,True,Pamela Mertz,0.5060088634490967,,train,test,test,0,0,0,2,0,0,0,0,1,0,0,0
HeStutters,1,133,10518720,10566720,True,Pamela Mertz,0.318095713853836,,train,test,test,0,0,1,3,0,1,0,2,0,0,0,0
HeStutters,1,134,10564160,10612160,True,Pamela Mertz,0.5481083393096924,,train,test,test,0,0,1,1,0,0,0,0,2,0,0,0
HeStutters,1,135,2934400,2982400,True,Pamela Mertz,0.49093958735466,,train,test,test,0,0,1,1,1,0,0,3,1,0,0,0
HeStutters,1,136,2978720,3026720,True,Pamela Mertz,0.4963705837726593,,train,test,test,0,0,0,2,0,0,2,0,2,1,0,0
HeStutters,1,137,12466240,12514240,True,Pamela Mertz,0.1033013612031936,,train,test,test,0,0,2,1,2,0,0,0,0,0,0,0
HeStutters,1,138,12512000,12560000,True,Pamela Mertz,0.4252372682094574,,train,test,test,0,0,1,1,0,0,2,0,1,0,0,0
HeStutters,1,139,12786880,12834880,True,Pamela Mertz,0.617632269859314,,train,test,test,0,0,0,1,0,0,1,0,2,0,0,0
HeStutters,1,140,12821920,12869920,True,Pamela Mertz,0.455272763967514,,train,test,test,0,0,2,0,0,0,0,0,2,0,0,0
HeStutters,1,141,12866400,12914400,True,Pamela Mertz,0.5945716500282288,,train,test,test,0,0,0,1,0,0,1,0,2,0,0,0
HeStutters,1,142,12901440,12949440,True,Pamela Mertz,0.5737292170524597,,train,test,test,0,0,1,1,0,0,0,0,1,0,0,0
HeStutters,1,143,12980800,13028800,True,Pamela Mertz,0.4443123936653137,,train,test,test,0,0,0,0,0,1,1,3,2,0,0,0
HeStutters,1,144,13032640,13080640,True,Pamela Mertz,0.5880007147789001,,train,test,test,0,0,3,0,0,0,1,0,0,0,0,0
HeStutters,1,145,13221920,13269920,True,Pamela Mertz,0.5820289254188538,,train,test,test,0,0,1,1,0,0,0,0,1,2,0,0
HeStutters,1,146,13257920,13305920,False,HeStutters_1_1,0.36750328540802,train,dev,dev,train,0,0,0,2,0,3,0,1,0,3,0,1
HeStutters,1,147,14344000,14392000,True,Pamela Mertz,0.5718140602111816,,train,test,test,0,0,0,2,2,0,1,0,1,1,0,0
HeStutters,1,148,14402080,14450080,False,HeStutters_1_1,0.1913151741027832,train,dev,dev,train,0,0,3,0,0,0,1,0,0,2,0,0
HeStutters,1,149,14726400,14774400,True,Pamela Mertz,0.5963988900184631,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,1,150,14758560,14806560,False,HeStutters_1_1,0.2059089392423629,train,dev,dev,train,0,0,0,2,0,0,0,0,1,0,0,0
HeStutters,1,151,14783360,14831360,True,Pamela Mertz,0.6157522201538086,,train,test,test,0,0,0,0,1,0,1,0,2,0,0,0
HeStutters,1,152,14980640,15028640,True,Pamela Mertz,0.5692603588104248,,train,test,test,0,0,0,0,0,0,1,0,3,1,0,0
HeStutters,1,153,15015200,15063200,False,HeStutters_1_1,0.3866758644580841,train,dev,dev,train,0,0,0,0,1,0,1,0,2,0,0,2
HeStutters,1,154,15070560,15118560,True,Pamela Mertz,0.5917428135871887,,train,test,test,1,0,1,1,1,0,0,0,1,0,0,0
HeStutters,1,155,15124320,15172320,True,Pamela Mertz,0.5690881609916687,,train,test,test,0,0,0,0,3,0,0,0,0,1,0,0
